"Usedphone_financial","Education","Locality","Geographic_Area","Sex","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69"
"Both mobile money and other financial transaction","Secondary","Urban","North East","Female",1,3,1,1,0,1,0,0,1,0,0
"Both mobile money and other financial transaction","Secondary","Urban","Upper East","Male",0,3,8,8,5,10,9,10,11,11,4
"Both mobile money and other financial transaction","Secondary","Urban","Upper East","Female",1,3,9,8,3,2,6,5,3,3,2
"Both mobile money and other financial transaction","Secondary","Urban","Upper West","Male",0,1,5,8,5,12,16,22,17,6,6
"Both mobile money and other financial transaction","Secondary","Urban","Upper West","Female",1,4,1,2,3,2,7,5,6,1,1
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Ghana","Male",207,1456,3191,4538,3455,1946,1066,597,416,301,186
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Ghana","Female",180,1067,1902,2263,1484,612,293,153,131,115,47
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Western","Male",15,70,235,320,219,137,84,51,34,24,7
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Western","Female",12,63,143,146,84,26,5,9,5,4,0
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Central","Male",11,109,268,400,319,160,113,59,39,27,22
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Central","Female",16,71,178,215,144,52,29,13,11,10,5
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Greater Accra","Male",68,288,351,443,416,246,155,85,55,32,25
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Greater Accra","Female",65,289,297,360,250,150,74,37,29,19,13
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Volta","Male",7,86,210,393,374,201,128,101,61,35,21
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Volta","Female",6,78,160,207,147,56,33,16,10,14,4
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Eastern","Male",13,115,380,547,430,240,141,81,57,52,23
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Eastern","Female",10,85,238,314,226,82,45,26,22,24,5
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Ashanti","Male",43,276,728,953,705,366,204,106,72,53,42
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Ashanti","Female",30,240,481,523,361,130,66,32,29,30,13
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Western North","Male",9,45,130,193,92,68,22,12,6,9,8
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Western North","Female",5,15,47,50,31,5,6,5,1,0,0
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Ahafo","Male",3,21,77,125,74,28,11,12,13,8,4
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Ahafo","Female",3,10,44,52,23,7,1,2,3,0,0
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Bono","Male",4,86,163,209,158,92,43,21,16,16,5
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Bono","Female",8,54,93,105,62,26,13,2,3,2,1
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Bono East","Male",4,31,83,130,114,52,26,9,10,6,3
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Bono East","Female",0,11,32,47,20,11,2,0,3,1,0
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Oti","Male",2,19,94,114,107,54,25,18,17,7,10
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Oti","Female",2,9,33,43,23,10,3,3,3,3,1
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Northern","Male",6,74,105,144,88,66,27,8,12,9,2
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Northern","Female",5,35,36,50,22,12,3,2,5,2,0
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Savannah","Male",7,12,40,57,34,20,8,4,2,3,2
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Savannah","Female",0,5,8,14,8,5,1,0,1,0,0
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","North East","Male",0,8,31,47,24,13,6,1,0,1,0
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","North East","Female",0,4,10,13,4,1,0,1,0,1,0
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Upper East","Male",11,187,171,271,171,109,41,16,16,15,5
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Upper East","Female",15,89,58,82,40,21,6,5,3,3,3
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Upper West","Male",4,29,125,192,130,94,32,13,6,4,7
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Rural","Upper West","Female",3,9,44,42,39,18,6,0,3,2,2
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Ghana","Male",2685,18352,22410,24896,18835,11110,6722,3838,2726,1905,1150
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Ghana","Female",2569,14969,16632,17101,11562,5627,2668,1531,1146,794,413
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Western","Male",47,655,1068,1240,970,545,347,215,139,100,52
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Western","Female",88,618,802,863,589,298,138,71,57,34,16
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Central","Male",99,1497,1941,1805,1194,660,412,221,178,123,54
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Central","Female",95,1150,1150,1074,677,336,159,86,75,44,15
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Greater Accra","Male",921,6417,9586,10218,7793,4845,3021,1794,1257,959,594
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Greater Accra","Female",981,6133,8276,8324,5707,2994,1492,882,630,416,237
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Volta","Male",43,355,581,704,729,420,268,157,117,69,45
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Volta","Female",53,418,442,601,433,232,105,45,37,32,16
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Eastern","Male",65,485,1214,1515,1208,798,492,246,201,160,91
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Eastern","Female",61,677,918,1022,759,379,161,95,68,49,24
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Ashanti","Male",1301,6591,4418,4452,3046,1685,964,555,400,240,177
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Ashanti","Female",1074,4315,2921,2802,1783,805,338,193,142,119,51
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Western North","Male",16,241,299,370,241,104,75,22,26,18,7
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Western North","Female",24,158,127,117,79,14,7,10,5,4,0
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Ahafo","Male",6,94,292,389,292,157,94,46,41,14,9
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Ahafo","Female",9,42,162,177,125,36,14,12,9,3,1
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Bono","Male",75,1066,974,1104,817,415,234,137,96,67,34
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Bono","Female",74,575,616,668,423,117,60,22,27,25,16
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Bono East","Male",4,108,367,561,440,243,129,77,49,28,22
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Bono East","Female",11,89,216,267,165,72,22,10,15,7,5
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Oti","Male",11,65,146,215,177,93,57,27,20,8,4
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Oti","Female",1,35,52,67,38,18,5,4,6,5,2
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Northern","Male",73,497,832,1189,1014,632,368,179,110,61,33
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Northern","Female",84,577,566,631,386,170,88,58,41,25,15
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Savannah","Male",1,25,117,168,133,74,44,31,10,12,4
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Savannah","Female",0,17,63,63,49,17,6,3,3,2,1
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","North East","Male",3,14,75,147,106,65,33,22,14,7,1
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","North East","Female",0,8,37,36,32,9,4,6,2,1,0
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Upper East","Male",5,48,182,339,325,161,86,49,31,16,7
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Upper East","Female",5,40,104,190,142,65,30,14,12,14,7
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Upper West","Male",15,194,318,480,350,213,98,60,37,23,16
"Both mobile money and other financial transaction","Tertiary - Bachelor's Degree","Urban","Upper West","Female",9,117,180,199,175,65,39,20,17,14,7
"Other financial transaction only","Never attended","Rural","Ghana","Male",532,1292,1524,1751,1719,1641,1248,1026,638,522,343
"Other financial transaction only","Never attended","Rural","Ghana","Female",470,1137,1412,1760,1739,1637,1339,1120,784,678,368
"Other financial transaction only","Never attended","Rural","Western","Male",27,122,160,201,188,150,129,75,56,40,26
"Other financial transaction only","Never attended","Rural","Western","Female",17,102,156,204,195,182,178,106,71,62,33
"Other financial transaction only","Never attended","Rural","Central","Male",8,24,50,43,64,48,43,31,24,23,15
"Other financial transaction only","Never attended","Rural","Central","Female",6,22,47,48,77,73,75,75,63,66,30
"Other financial transaction only","Never attended","Rural","Greater Accra","Male",6,16,27,25,37,36,26,14,11,10,9
"Other financial transaction only","Never attended","Rural","Greater Accra","Female",3,18,36,41,37,47,29,20,20,20,8
"Other financial transaction only","Never attended","Rural","Volta","Male",8,26,32,30,33,38,27,25,17,12,8
"Other financial transaction only","Never attended","Rural","Volta","Female",7,24,27,57,61,65,74,58,56,54,33
"Other financial transaction only","Never attended","Rural","Eastern","Male",22,44,69,80,85,74,79,68,46,38,34
"Other financial transaction only","Never attended","Rural","Eastern","Female",27,43,60,89,128,108,114,105,84,73,36
"Other financial transaction only","Never attended","Rural","Ashanti","Male",27,91,131,156,176,157,144,112,78,50,31
"Other financial transaction only","Never attended","Rural","Ashanti","Female",24,103,154,206,186,184,163,132,98,82,61
"Other financial transaction only","Never attended","Rural","Western North","Male",14,87,90,169,199,194,133,127,67,56,16
"Other financial transaction only","Never attended","Rural","Western North","Female",24,83,136,180,153,157,106,115,65,61,18
"Other financial transaction only","Never attended","Rural","Ahafo","Male",10,24,49,57,62,70,56,49,20,20,14
"Other financial transaction only","Never attended","Rural","Ahafo","Female",7,35,39,66,77,62,52,54,40,18,13
"Other financial transaction only","Never attended","Rural","Bono","Male",10,38,46,55,59,45,49,48,37,19,18
"Other financial transaction only","Never attended","Rural","Bono","Female",6,35,52,67,70,81,67,62,47,30,16
"Other financial transaction only","Never attended","Rural","Bono East","Male",53,107,129,125,125,128,104,90,53,34,27
"Other financial transaction only","Never attended","Rural","Bono East","Female",47,71,121,117,128,119,97,61,38,29,17
"Other financial transaction only","Never attended","Rural","Oti","Male",44,71,67,89,68,92,70,48,33,31,19
"Other financial transaction only","Never attended","Rural","Oti","Female",20,51,50,92,96,75,56,36,24,21,21
"Other financial transaction only","Never attended","Rural","Northern","Male",86,208,192,229,171,190,105,104,46,66,30
"Other financial transaction only","Never attended","Rural","Northern","Female",86,200,179,189,163,127,66,61,22,31,9
"Other financial transaction only","Never attended","Rural","Savannah","Male",68,119,126,113,100,108,76,70,25,30,21
"Other financial transaction only","Never attended","Rural","Savannah","Female",64,96,76,68,71,64,30,34,22,10,11
"Other financial transaction only","Never attended","Rural","North East","Male",48,97,87,87,65,94,39,45,19,14,17
"Other financial transaction only","Never attended","Rural","North East","Female",45,79,61,74,62,63,34,32,11,11,6
"Other financial transaction only","Never attended","Rural","Upper East","Male",56,119,142,149,153,113,85,65,55,45,33
"Other financial transaction only","Never attended","Rural","Upper East","Female",45,98,133,159,130,128,96,91,73,59,25
"Other financial transaction only","Never attended","Rural","Upper West","Male",45,99,127,143,134,104,83,55,51,34,25
"Other financial transaction only","Never attended","Rural","Upper West","Female",42,77,85,103,105,102,102,78,50,51,31
"Other financial transaction only","Never attended","Urban","Ghana","Male",214,519,789,994,947,957,745,571,390,309,208
"Other financial transaction only","Never attended","Urban","Ghana","Female",214,779,1129,1395,1574,1389,1083,1046,688,570,358
"Other financial transaction only","Never attended","Urban","Western","Male",20,49,69,75,72,67,53,27,27,17,15
"Other financial transaction only","Never attended","Urban","Western","Female",14,59,87,88,123,105,65,82,48,41,26
"Other financial transaction only","Never attended","Urban","Central","Male",16,25,32,34,48,48,26,37,20,20,12
"Other financial transaction only","Never attended","Urban","Central","Female",4,28,45,63,93,62,65,78,36,40,33
"Other financial transaction only","Never attended","Urban","Greater Accra","Male",18,64,120,156,141,141,113,83,53,37,21
"Other financial transaction only","Never attended","Urban","Greater Accra","Female",18,85,175,252,284,256,190,168,112,84,40
"Other financial transaction only","Never attended","Urban","Volta","Male",3,12,13,15,15,13,6,5,8,7,2
"Other financial transaction only","Never attended","Urban","Volta","Female",4,18,15,24,34,27,23,32,25,20,8
"Other financial transaction only","Never attended","Urban","Eastern","Male",7,31,51,56,60,66,46,37,30,21,8
"Other financial transaction only","Never attended","Urban","Eastern","Female",15,32,46,91,127,105,91,106,57,66,47
"Other financial transaction only","Never attended","Urban","Ashanti","Male",22,86,139,147,130,147,116,110,66,59,39
"Other financial transaction only","Never attended","Urban","Ashanti","Female",38,143,186,233,264,253,219,183,146,127,85
"Other financial transaction only","Never attended","Urban","Western North","Male",2,11,14,21,20,21,27,16,10,12,9
"Other financial transaction only","Never attended","Urban","Western North","Female",2,16,22,29,36,40,19,26,9,9,6
"Other financial transaction only","Never attended","Urban","Ahafo","Male",11,15,27,22,28,23,19,12,17,11,3
"Other financial transaction only","Never attended","Urban","Ahafo","Female",4,29,37,39,37,29,35,29,23,18,11
"Other financial transaction only","Never attended","Urban","Bono","Male",13,18,28,32,33,23,25,17,17,15,11
"Other financial transaction only","Never attended","Urban","Bono","Female",11,26,40,45,59,75,59,57,43,35,26
"Other financial transaction only","Never attended","Urban","Bono East","Male",19,50,73,111,94,80,49,46,25,19,15
"Other financial transaction only","Never attended","Urban","Bono East","Female",23,88,118,124,122,84,68,63,47,31,18
"Other financial transaction only","Never attended","Urban","Oti","Male",4,3,11,22,19,15,11,12,12,7,7
"Other financial transaction only","Never attended","Urban","Oti","Female",4,16,27,17,33,20,15,10,10,7,4
"Other financial transaction only","Never attended","Urban","Northern","Male",27,72,95,153,151,167,144,98,66,46,40
"Other financial transaction only","Never attended","Urban","Northern","Female",34,131,163,216,232,202,147,120,70,48,31
"Other financial transaction only","Never attended","Urban","Savannah","Male",23,34,25,56,40,32,31,18,7,7,5
"Other financial transaction only","Never attended","Urban","Savannah","Female",12,30,52,42,31,22,10,21,9,7,4
"Other financial transaction only","Never attended","Urban","North East","Male",15,26,48,49,46,53,31,19,10,13,5
"Other financial transaction only","Never attended","Urban","North East","Female",17,34,51,53,37,33,23,15,14,11,3
"Other financial transaction only","Never attended","Urban","Upper East","Male",11,16,32,31,33,48,30,29,18,16,8
"Other financial transaction only","Never attended","Urban","Upper East","Female",11,36,47,65,46,50,34,36,27,14,13
"Other financial transaction only","Never attended","Urban","Upper West","Male",3,7,12,14,17,13,18,5,4,2,8
"Other financial transaction only","Never attended","Urban","Upper West","Female",3,8,18,14,16,26,20,20,12,12,3
"Other financial transaction only","Primary","Rural","Ghana","Male",305,598,606,518,517,352,311,202,136,120,66
"Other financial transaction only","Primary","Rural","Ghana","Female",273,604,597,619,548,408,373,290,170,151,77
"Other financial transaction only","Primary","Rural","Western","Male",28,77,84,83,67,47,46,24,15,17,7
"Other financial transaction only","Primary","Rural","Western","Female",28,92,96,82,82,50,28,46,16,14,4
"Other financial transaction only","Primary","Rural","Central","Male",16,21,32,41,26,36,34,12,11,14,8
"Other financial transaction only","Primary","Rural","Central","Female",11,37,44,50,59,42,44,43,29,25,16
"Other financial transaction only","Primary","Rural","Greater Accra","Male",4,22,11,14,16,11,8,4,3,2,4
"Other financial transaction only","Primary","Rural","Greater Accra","Female",9,24,18,18,18,10,14,4,3,6,5
"Other financial transaction only","Primary","Rural","Volta","Male",11,17,43,19,27,18,7,10,5,9,6
"Other financial transaction only","Primary","Rural","Volta","Female",16,35,35,48,43,34,38,16,15,13,6
"Other financial transaction only","Primary","Rural","Eastern","Male",23,55,62,71,73,51,52,46,18,22,12
"Other financial transaction only","Primary","Rural","Eastern","Female",28,68,53,82,70,62,74,51,25,28,15
"Other financial transaction only","Primary","Rural","Ashanti","Male",33,79,77,59,84,57,61,30,27,18,9
"Other financial transaction only","Primary","Rural","Ashanti","Female",36,78,111,102,97,74,75,61,37,31,16
"Other financial transaction only","Primary","Rural","Western North","Male",22,26,42,55,53,51,22,22,19,11,6
"Other financial transaction only","Primary","Rural","Western North","Female",13,42,53,50,58,36,29,22,9,6,3
"Other financial transaction only","Primary","Rural","Ahafo","Male",12,21,22,32,27,22,25,7,19,8,4
"Other financial transaction only","Primary","Rural","Ahafo","Female",11,31,28,29,31,24,19,15,8,6,4
"Other financial transaction only","Primary","Rural","Bono","Male",6,16,21,16,24,12,8,14,3,6,3
"Other financial transaction only","Primary","Rural","Bono","Female",11,16,15,35,21,22,17,14,12,9,1
"Other financial transaction only","Primary","Rural","Bono East","Male",32,47,32,30,31,13,20,11,7,4,2
"Other financial transaction only","Primary","Rural","Bono East","Female",33,45,39,40,25,14,16,8,6,5,2
"Other financial transaction only","Primary","Rural","Oti","Male",13,25,31,14,20,8,10,6,3,2,1
"Other financial transaction only","Primary","Rural","Oti","Female",19,21,27,13,14,10,9,3,6,3,3
"Other financial transaction only","Primary","Rural","Northern","Male",15,34,30,19,9,3,1,5,2,2,0
"Other financial transaction only","Primary","Rural","Northern","Female",13,24,13,11,5,4,1,0,0,0,1
"Other financial transaction only","Primary","Rural","Savannah","Male",9,33,19,6,9,2,6,1,3,0,0
"Other financial transaction only","Primary","Rural","Savannah","Female",12,24,11,7,2,5,2,1,0,0,0
"Other financial transaction only","Primary","Rural","North East","Male",11,26,7,8,4,2,1,3,0,0,0
"Other financial transaction only","Primary","Rural","North East","Female",4,14,10,11,9,6,0,0,0,0,1
"Other financial transaction only","Primary","Rural","Upper East","Male",41,51,54,36,26,12,7,2,1,4,0
"Other financial transaction only","Primary","Rural","Upper East","Female",15,32,21,27,7,11,5,2,2,2,0
"Other financial transaction only","Primary","Rural","Upper West","Male",29,48,39,15,21,7,3,5,0,1,4
"Other financial transaction only","Primary","Rural","Upper West","Female",14,21,23,14,7,4,2,4,2,3,0
"Other financial transaction only","Primary","Urban","Ghana","Male",143,304,288,331,373,309,258,185,124,96,44
"Other financial transaction only","Primary","Urban","Ghana","Female",157,382,473,573,555,466,403,259,188,153,80
"Other financial transaction only","Primary","Urban","Western","Male",12,33,35,31,27,19,22,13,7,7,3
"Other financial transaction only","Primary","Urban","Western","Female",19,42,40,53,48,44,41,17,17,9,7
"Other financial transaction only","Primary","Urban","Central","Male",11,21,25,31,22,21,16,11,13,5,2
"Other financial transaction only","Primary","Urban","Central","Female",17,35,37,52,53,34,37,26,19,16,5
"Other financial transaction only","Primary","Urban","Greater Accra","Male",23,55,64,91,91,72,71,47,29,30,12
"Other financial transaction only","Primary","Urban","Greater Accra","Female",35,69,109,159,155,136,105,67,44,40,12
"Other financial transaction only","Primary","Urban","Volta","Male",1,9,7,5,6,10,8,5,5,6,1
"Other financial transaction only","Primary","Urban","Volta","Female",1,17,16,13,22,12,16,10,2,4,2
"Other financial transaction only","Primary","Urban","Eastern","Male",11,17,24,33,39,34,26,21,18,13,6
"Other financial transaction only","Primary","Urban","Eastern","Female",9,28,40,58,60,58,45,30,24,22,14
"Other financial transaction only","Primary","Urban","Ashanti","Male",28,59,47,54,87,69,53,40,17,9,11
"Other financial transaction only","Primary","Urban","Ashanti","Female",22,75,101,111,117,98,78,63,36,37,19
"Other financial transaction only","Primary","Urban","Western North","Male",0,7,11,9,9,4,4,4,4,4,0
"Other financial transaction only","Primary","Urban","Western North","Female",1,8,15,15,13,13,9,9,5,1,0
"Other financial transaction only","Primary","Urban","Ahafo","Male",11,11,8,6,14,12,11,3,1,2,1
"Other financial transaction only","Primary","Urban","Ahafo","Female",5,5,11,15,15,13,14,6,9,7,2
"Other financial transaction only","Primary","Urban","Bono","Male",12,19,16,19,20,15,11,15,13,7,1
"Other financial transaction only","Primary","Urban","Bono","Female",6,17,35,23,36,22,29,15,16,8,14
"Other financial transaction only","Primary","Urban","Bono East","Male",16,26,13,14,18,14,11,9,4,3,3
"Other financial transaction only","Primary","Urban","Bono East","Female",17,34,19,27,15,17,9,7,11,3,1
"Other financial transaction only","Primary","Urban","Oti","Male",2,10,5,3,4,3,1,3,1,2,1
"Other financial transaction only","Primary","Urban","Oti","Female",7,6,14,11,2,1,8,0,0,1,1
"Other financial transaction only","Primary","Urban","Northern","Male",7,19,13,14,16,17,9,8,5,2,1
"Other financial transaction only","Primary","Urban","Northern","Female",7,28,17,14,8,9,6,4,0,1,1
"Other financial transaction only","Primary","Urban","Savannah","Male",2,3,7,3,4,2,3,0,1,0,0
"Other financial transaction only","Primary","Urban","Savannah","Female",2,4,1,2,1,0,0,2,0,0,0
"Other financial transaction only","Primary","Urban","North East","Male",2,3,5,3,4,6,0,0,1,1,0
"Other financial transaction only","Primary","Urban","North East","Female",4,1,4,2,1,0,1,0,0,1,1
"Other financial transaction only","Primary","Urban","Upper East","Male",5,5,5,12,6,7,8,4,3,2,1
"Other financial transaction only","Primary","Urban","Upper East","Female",3,7,6,9,8,3,0,2,2,1,0
"Other financial transaction only","Primary","Urban","Upper West","Male",0,7,3,3,6,4,4,2,2,3,1
"Other financial transaction only","Primary","Urban","Upper West","Female",2,6,8,9,1,6,5,1,3,2,1
"Other financial transaction only","Secondary","Rural","Ghana","Male",51,147,126,118,94,176,235,187,140,95,125
"Other financial transaction only","Secondary","Rural","Ghana","Female",26,89,75,49,29,69,111,50,41,30,30
"Other financial transaction only","Secondary","Rural","Western","Male",10,16,29,21,21,28,36,27,21,13,9
"Other financial transaction only","Secondary","Rural","Western","Female",6,13,14,8,10,11,18,5,7,1,1
"Other financial transaction only","Secondary","Rural","Central","Male",0,1,4,4,1,11,19,12,8,12,7
"Other financial transaction only","Secondary","Rural","Central","Female",0,2,0,4,0,5,9,3,2,1,2
"Other financial transaction only","Secondary","Rural","Greater Accra","Male",4,31,1,6,5,13,4,9,10,7,8
"Other financial transaction only","Secondary","Rural","Greater Accra","Female",2,12,3,2,2,3,4,4,1,1,2
"Other financial transaction only","Secondary","Rural","Volta","Male",0,0,3,1,4,4,12,11,6,11,6
"Other financial transaction only","Secondary","Rural","Volta","Female",0,2,0,3,0,4,6,1,7,1,1
"Other financial transaction only","Secondary","Rural","Eastern","Male",5,8,11,8,8,16,31,24,18,8,22
"Other financial transaction only","Secondary","Rural","Eastern","Female",3,7,6,0,1,9,16,3,9,12,7
"Other financial transaction only","Secondary","Rural","Ashanti","Male",5,18,25,28,13,36,46,30,19,19,21
"Other financial transaction only","Secondary","Rural","Ashanti","Female",2,15,14,6,7,16,32,18,6,5,4
"Other financial transaction only","Secondary","Rural","Western North","Male",10,25,10,19,14,33,38,26,15,7,14
"Other financial transaction only","Secondary","Rural","Western North","Female",5,13,22,13,3,10,10,5,3,2,3
"Other financial transaction only","Secondary","Rural","Ahafo","Male",1,3,1,3,4,4,12,9,12,3,8
"Other financial transaction only","Secondary","Rural","Ahafo","Female",0,0,1,0,0,1,4,0,4,1,3
"Other financial transaction only","Secondary","Rural","Bono","Male",2,7,6,5,6,8,11,4,13,0,4
"Other financial transaction only","Secondary","Rural","Bono","Female",1,7,4,4,3,8,2,5,2,2,3
"Other financial transaction only","Secondary","Rural","Bono East","Male",2,2,6,5,3,8,13,9,11,6,14
"Other financial transaction only","Secondary","Rural","Bono East","Female",2,3,1,1,0,0,5,2,0,1,1
"Other financial transaction only","Secondary","Rural","Oti","Male",3,10,6,10,6,2,4,7,3,4,1
"Other financial transaction only","Secondary","Rural","Oti","Female",2,3,3,4,1,1,2,0,0,0,1
"Other financial transaction only","Secondary","Rural","Northern","Male",6,8,9,3,4,5,1,2,1,2,3
"Other financial transaction only","Secondary","Rural","Northern","Female",2,5,3,0,1,0,0,0,0,0,0
"Other financial transaction only","Secondary","Rural","Savannah","Male",0,4,2,0,1,2,0,4,0,0,0
"Other financial transaction only","Secondary","Rural","Savannah","Female",0,2,1,0,0,0,0,2,0,0,1
"Other financial transaction only","Secondary","Rural","North East","Male",0,4,5,1,2,1,3,5,0,0,2
"Other financial transaction only","Secondary","Rural","North East","Female",0,3,1,1,0,0,0,0,0,0,0
"Other financial transaction only","Secondary","Rural","Upper East","Male",1,4,2,1,0,2,2,2,2,1,1
"Other financial transaction only","Secondary","Rural","Upper East","Female",1,1,0,1,1,0,2,2,0,1,1
"Other financial transaction only","Secondary","Rural","Upper West","Male",2,6,6,3,2,3,3,6,1,2,5
"Other financial transaction only","Secondary","Rural","Upper West","Female",0,1,2,2,0,1,1,0,0,2,0
"Other financial transaction only","Secondary","Urban","Ghana","Male",65,144,149,196,181,321,505,431,324,281,206
"Other financial transaction only","Secondary","Urban","Ghana","Female",95,118,140,164,127,216,368,221,203,154,145
"Other financial transaction only","Secondary","Urban","Western","Male",10,25,11,16,16,34,44,38,30,19,18
"Other financial transaction only","Secondary","Urban","Western","Female",8,18,26,21,16,18,50,23,20,13,10
"Other financial transaction only","Secondary","Urban","Central","Male",3,11,6,16,10,22,40,19,12,23,15
"Other financial transaction only","Secondary","Urban","Central","Female",6,10,12,7,8,16,15,10,5,5,9
"Other financial transaction only","Secondary","Urban","Greater Accra","Male",10,36,44,64,65,121,201,178,122,97,74
"Other financial transaction only","Secondary","Urban","Greater Accra","Female",17,22,32,64,40,80,139,106,98,83,63
"Other financial transaction only","Secondary","Urban","Volta","Male",5,6,2,8,6,8,9,8,9,2,5
"Other financial transaction only","Secondary","Urban","Volta","Female",23,5,3,5,3,3,5,4,6,2,2
"Other financial transaction only","Secondary","Urban","Eastern","Male",5,11,12,19,5,28,44,35,29,19,16
"Other financial transaction only","Secondary","Urban","Eastern","Female",4,9,9,5,8,15,34,16,9,9,8
"Other financial transaction only","Secondary","Urban","Ashanti","Male",19,23,39,45,52,66,104,78,76,74,53
"Other financial transaction only","Secondary","Urban","Ashanti","Female",15,35,32,39,27,55,68,46,46,31,30
"Other financial transaction only","Secondary","Urban","Western North","Male",6,2,0,0,2,3,5,12,7,3,1
"Other financial transaction only","Secondary","Urban","Western North","Female",2,1,0,5,2,3,5,2,1,1,1
"Other financial transaction only","Secondary","Urban","Ahafo","Male",2,2,1,1,0,4,17,10,7,7,2
"Other financial transaction only","Secondary","Urban","Ahafo","Female",10,1,3,3,2,6,8,5,5,2,6
"Other financial transaction only","Secondary","Urban","Bono","Male",2,5,9,8,6,12,15,16,7,11,8
"Other financial transaction only","Secondary","Urban","Bono","Female",3,3,7,11,6,13,23,4,2,2,6
